"id";"variedad";"tiempo";"peso"
1;"Granny Smith";"semana_5";45,1667958563449
1;"Granny Smith";"semana_10";132,030212358093
1;"Granny Smith";"semana_15";237,695339229573
1;"Granny Smith";"semana_20";238,68996296512
2;"Granny Smith";"semana_5";36,3935939555981
2;"Granny Smith";"semana_10";103,524360504778
2;"Granny Smith";"semana_15";226,315121669127
2;"Granny Smith";"semana_20";229,283406859068
3;"Gala";"semana_5";49,5611152424591
3;"Gala";"semana_10";112,850730500233
3;"Gala";"semana_15";190,535780824728
3;"Gala";"semana_20";194,328190239154
4;"Starking";"semana_5";49,4425224514601
4;"Starking";"semana_10";138,767014629822
4;"Starking";"semana_15";140,811225394868
4;"Starking";"semana_20";143,854514231123
5;"Richard";"semana_5";55,2674150004955
5;"Richard";"semana_10";166,802056325514
5;"Richard";"semana_15";166,666528422289
5;"Richard";"semana_20";172,501141080536
6;"Fuji";"semana_5";52,1848592799051
6;"Fuji";"semana_10";114,232537621604
6;"Fuji";"semana_15";196,807073653042
6;"Fuji";"semana_20";199,166407564953
7;"Gala";"semana_5";43,6896921370956
7;"Gala";"semana_10";107,568404607272
7;"Gala";"semana_15";213,602837096351
7;"Gala";"semana_20";217,306997119832
8;"Richard";"semana_5";59,7759398440804
8;"Richard";"semana_10";134,459230032909
8;"Richard";"semana_15";260,135797554198
8;"Richard";"semana_20";261,925242432896
9;"Gala";"semana_5";51,8350868318257
9;"Gala";"semana_10";116,001614128245
9;"Gala";"semana_15";183,650181694374
9;"Gala";"semana_20";188,051821714685
10;"Gala";"semana_5";45,4811694562824
10;"Gala";"semana_10";95,7087165451083
10;"Gala";"semana_15";202,607264321124
10;"Gala";"semana_20";202,754889981648
11;"Gala";"semana_5";48,2973818802846
11;"Gala";"semana_10";92,1375133628741
11;"Gala";"semana_15";212,928922470086
11;"Gala";"semana_20";216,698766003722
12;"Fuji";"semana_5";49,5228067518144
12;"Fuji";"semana_10";129,297539267951
12;"Fuji";"semana_15";230,909639838187
12;"Fuji";"semana_20";234,173115852324
13;"Golden";"semana_5";56,0649010783314
13;"Golden";"semana_10";103,250145145441
13;"Golden";"semana_15";199,430789719799
13;"Golden";"semana_20";201,732387830966
14;"Golden";"semana_5";47,4927145260798
14;"Golden";"semana_10";102,733217729988
14;"Golden";"semana_15";195,504592937717
14;"Golden";"semana_20";196,231413322801
15;"Pink Lady";"semana_5";43,8886530735518
15;"Pink Lady";"semana_10";121,673888798675
15;"Pink Lady";"semana_15";209,361081413594
15;"Pink Lady";"semana_20";215,694053124306
16;"Fuji";"semana_5";48,4277782711498
16;"Fuji";"semana_10";131,722609415299
16;"Fuji";"semana_15";202,112604312409
16;"Fuji";"semana_20";207,781003802825
17;"Granny Smith";"semana_5";44,7077262314857
17;"Granny Smith";"semana_10";119,27367959725
17;"Granny Smith";"semana_15";203,371406004359
17;"Granny Smith";"semana_20";207,386425074717
18;"Richard";"semana_5";60,4016662478211
18;"Richard";"semana_10";140,57072460028
18;"Richard";"semana_15";185,722896335243
18;"Richard";"semana_20";187,964121078669
19;"Pink Lady";"semana_5";56,0899547594981
19;"Pink Lady";"semana_10";142,738558203464
19;"Pink Lady";"semana_15";194,313733778233
19;"Pink Lady";"semana_20";197,662931445325
20;"Gala";"semana_5";39,3436270008979
20;"Gala";"semana_10";68,8985845017678
20;"Gala";"semana_15";182,972963246334
20;"Gala";"semana_20";187,153116612512
21;"Richard";"semana_5";58,8801877890709
21;"Richard";"semana_10";149,393269197374
21;"Richard";"semana_15";223,6226151037
21;"Richard";"semana_20";226,679462027826
22;"Richard";"semana_5";56,7732478007999
22;"Richard";"semana_10";104,453685304075
22;"Richard";"semana_15";214,724788324431
22;"Richard";"semana_20";214,953309401393
23;"Golden";"semana_5";54,4458412544171
23;"Golden";"semana_10";123,389572857864
23;"Golden";"semana_15";137,693295578408
23;"Golden";"semana_20";140,704198810208
24;"Fuji";"semana_5";44,3776322115391
24;"Fuji";"semana_10";103,312716484307
24;"Fuji";"semana_15";209,714834797858
24;"Fuji";"semana_20";210,204740928217
25;"Starking";"semana_5";49,4909667089475
25;"Starking";"semana_10";133,554200444608
25;"Starking";"semana_15";210,71806470758
25;"Starking";"semana_20";214,604592631447
26;"Gala";"semana_5";38,3559219539649
26;"Gala";"semana_10";92,1770155972245
26;"Gala";"semana_15";154,347088971206
26;"Gala";"semana_20";158,164927487292
27;"Starking";"semana_5";53,9872194120785
27;"Starking";"semana_10";130,05984303766
27;"Starking";"semana_15";184,005482348536
27;"Starking";"semana_20";186,319849206989
28;"Gala";"semana_5";59,7975699590274
28;"Gala";"semana_10";110,401516587218
28;"Gala";"semana_15";175,12478705437
28;"Gala";"semana_20";178,586464255463
29;"Golden";"semana_5";54,080175184856
29;"Golden";"semana_10";93,3078252251801
29;"Golden";"semana_15";189,016065862488
29;"Golden";"semana_20";192,82548434892
30;"Starking";"semana_5";52,7317701977378
30;"Starking";"semana_10";144,184989350914
30;"Starking";"semana_15";217,783599710611
30;"Starking";"semana_20";222,32420499116
31;"Fuji";"semana_5";43,5911577309356
31;"Fuji";"semana_10";97,6549020319442
31;"Fuji";"semana_15";219,115310710422
31;"Fuji";"semana_20";221,971442405633
32;"Pink Lady";"semana_5";51,3391697115147
32;"Pink Lady";"semana_10";96,5350563019167
32;"Pink Lady";"semana_15";176,094007468827
32;"Pink Lady";"semana_20";178,965428522832
33;"Richard";"semana_5";58,9573885920453
33;"Richard";"semana_10";128,328974360842
33;"Richard";"semana_15";185,868811090447
33;"Richard";"semana_20";189,436818978719
34;"Golden";"semana_5";45,796157129577
34;"Golden";"semana_10";121,593531342281
34;"Golden";"semana_15";181,906207916485
34;"Golden";"semana_20";185,536655028509
35;"Golden";"semana_5";50,4676912416426
35;"Golden";"semana_10";108,66982981975
35;"Golden";"semana_15";215,86027952
35;"Golden";"semana_20";222,243571423884
36;"Pink Lady";"semana_5";46,8505609596032
36;"Pink Lady";"semana_10";105,353903345101
36;"Pink Lady";"semana_15";206,858525076318
36;"Pink Lady";"semana_20";211,366490529287
37;"Golden";"semana_5";51,4628196103916
37;"Golden";"semana_10";123,882980989621
37;"Golden";"semana_15";241,082180508146
37;"Golden";"semana_20";243,172951788375
38;"Pink Lady";"semana_5";46,4938112713594
38;"Pink Lady";"semana_10";120,19215173612
38;"Pink Lady";"semana_15";174,402994007804
38;"Pink Lady";"semana_20";181,496448830702
39;"Starking";"semana_5";53,5504968722729
39;"Starking";"semana_10";116,024670500439
39;"Starking";"semana_15";233,168742948345
39;"Starking";"semana_20";233,352370296738
40;"Fuji";"semana_5";57,3556015195396
40;"Fuji";"semana_10";86,1785999662619
40;"Fuji";"semana_15";224,266060925635
40;"Fuji";"semana_20";225,975616588804
41;"Starking";"semana_5";46,3669874636664
41;"Starking";"semana_10";111,539733077026
41;"Starking";"semana_15";195,042859273966
41;"Starking";"semana_20";195,595586196523
42;"Gala";"semana_5";38,9946493490958
42;"Gala";"semana_10";89,0858404478782
42;"Gala";"semana_15";188,221810297466
42;"Gala";"semana_20";190,646767818726
43;"Golden";"semana_5";48,6041553081659
43;"Golden";"semana_10";103,692440152872
43;"Golden";"semana_15";148,436624362101
43;"Golden";"semana_20";154,842166923886
44;"Richard";"semana_5";62,8569961940647
44;"Richard";"semana_10";126,481949980968
44;"Richard";"semana_15";207,878090018418
44;"Richard";"semana_20";212,407087961223
45;"Starking";"semana_5";55,1388715344411
45;"Starking";"semana_10";112,823272325541
45;"Starking";"semana_15";158,46954875355
45;"Starking";"semana_20";166,184960066428
46;"Pink Lady";"semana_5";50,3941661484529
46;"Pink Lady";"semana_10";106,859764553382
46;"Pink Lady";"semana_15";224,212168079954
46;"Pink Lady";"semana_20";228,677339389142
47;"Starking";"semana_5";47,6324180462627
47;"Starking";"semana_10";96,7783611922007
47;"Starking";"semana_15";237,449848084392
47;"Starking";"semana_20";239,303815443682
48;"Richard";"semana_5";54,2643178120522
48;"Richard";"semana_10";150,128257261107
48;"Richard";"semana_15";216,564380699094
48;"Richard";"semana_20";224,437501206319
49;"Starking";"semana_5";52,4853193868216
49;"Starking";"semana_10";116,891541709459
49;"Starking";"semana_15";211,60792612357
49;"Starking";"semana_20";212,197677359711
50;"Starking";"semana_5";55,7080039310441
50;"Starking";"semana_10";143,876646125723
50;"Starking";"semana_15";185,019031248746
50;"Starking";"semana_20";185,327376657856
51;"Granny Smith";"semana_5";56,3790714098025
51;"Granny Smith";"semana_10";103,696502543514
51;"Granny Smith";"semana_15";162,489088139103
51;"Granny Smith";"semana_20";167,519527961106
52;"Pink Lady";"semana_5";58,1598697045437
52;"Pink Lady";"semana_10";89,1311709511444
52;"Pink Lady";"semana_15";205,333823538143
52;"Pink Lady";"semana_20";206,899700793196
53;"Fuji";"semana_5";51,2337507846666
53;"Fuji";"semana_10";121,518350953993
53;"Fuji";"semana_15";183,261974312246
53;"Fuji";"semana_20";189,612762926027
54;"Pink Lady";"semana_5";53,6639450737498
54;"Pink Lady";"semana_10";138,732555460278
54;"Pink Lady";"semana_15";181,39995928153
54;"Pink Lady";"semana_20";186,263061393496
55;"Fuji";"semana_5";41,7986103332228
55;"Fuji";"semana_10";80,6554715584675
55;"Fuji";"semana_15";205,330095894319
55;"Fuji";"semana_20";207,647187975851
56;"Granny Smith";"semana_5";48,8975940098394
56;"Granny Smith";"semana_10";119,408028814702
56;"Granny Smith";"semana_15";217,655972808728
56;"Granny Smith";"semana_20";224,862398428971
57;"Pink Lady";"semana_5";53,7583018475034
57;"Pink Lady";"semana_10";106,796430543259
57;"Pink Lady";"semana_15";194,151075833138
57;"Pink Lady";"semana_20";195,937179176729
58;"Gala";"semana_5";52,3223389661738
58;"Gala";"semana_10";91,4006267351366
58;"Gala";"semana_15";223,524809640172
58;"Gala";"semana_20";225,816107677567
59;"Fuji";"semana_5";54,9382690685223
59;"Fuji";"semana_10";93,4314177762266
59;"Fuji";"semana_15";219,824846227169
59;"Fuji";"semana_20";225,139488393888
60;"Fuji";"semana_5";54,5614114590248
60;"Fuji";"semana_10";116,468882156749
60;"Fuji";"semana_15";180,833036964204
60;"Fuji";"semana_20";183,08371280637
61;"Gala";"semana_5";47,0922056551279
61;"Gala";"semana_10";109,805672111009
61;"Gala";"semana_15";165,4685580739
61;"Gala";"semana_20";169,248552177957
62;"Gala";"semana_5";35,0024450132628
62;"Gala";"semana_10";91,8209522212949
62;"Gala";"semana_15";244,114602510651
62;"Gala";"semana_20";246,845896062274
63;"Pink Lady";"semana_5";48,7367046485354
63;"Pink Lady";"semana_10";112,581924197208
63;"Pink Lady";"semana_15";173,542668860087
63;"Pink Lady";"semana_20";174,744424601698
64;"Gala";"semana_5";38,5303318739534
64;"Gala";"semana_10";109,94896069426
64;"Gala";"semana_15";210,11016566884
64;"Gala";"semana_20";212,600112663771
65;"Fuji";"semana_5";52,8457961787818
65;"Fuji";"semana_10";124,361231900816
65;"Fuji";"semana_15";227,771018357995
65;"Fuji";"semana_20";228,211204363081
66;"Richard";"semana_5";58,3298336326641
66;"Richard";"semana_10";123,127627170985
66;"Richard";"semana_15";218,352265826876
66;"Richard";"semana_20";219,790685459489
67;"Golden";"semana_5";54,7465594968234
67;"Golden";"semana_10";117,748021808032
67;"Golden";"semana_15";237,227231976179
67;"Golden";"semana_20";242,026912591023
68;"Granny Smith";"semana_5";49,7647165635654
68;"Granny Smith";"semana_10";110,260154054738
68;"Granny Smith";"semana_15";205,362752280294
68;"Granny Smith";"semana_20";206,689277467414
69;"Richard";"semana_5";52,5445064043793
69;"Richard";"semana_10";124,657012965317
69;"Richard";"semana_15";202,818241839641
69;"Richard";"semana_20";208,486176430592
70;"Fuji";"semana_5";52,6907751851596
70;"Fuji";"semana_10";133,941348451759
70;"Fuji";"semana_15";203,026704345028
70;"Fuji";"semana_20";207,062727114315
71;"Granny Smith";"semana_5";42,6805574992708
71;"Granny Smith";"semana_10";102,991414624004
71;"Granny Smith";"semana_15";194,780398627403
71;"Granny Smith";"semana_20";202,235978677529
72;"Gala";"semana_5";33,3608877917908
72;"Gala";"semana_10";109,583464076538
72;"Gala";"semana_15";179,637647568647
72;"Gala";"semana_20";182,421435340706
73;"Granny Smith";"semana_5";52,5282852037042
73;"Granny Smith";"semana_10";121,74224923771
73;"Granny Smith";"semana_15";216,795239436824
73;"Granny Smith";"semana_20";223,580908350099
74;"Gala";"semana_5";44,6173571729879
74;"Gala";"semana_10";100,655442623747
74;"Gala";"semana_15";189,80213335469
74;"Gala";"semana_20";192,611113409843
75;"Golden";"semana_5";54,7440856730178
75;"Golden";"semana_10";123,813672746625
75;"Golden";"semana_15";193,145679271981
75;"Golden";"semana_20";195,679457937568
76;"Richard";"semana_5";62,5730957218127
76;"Richard";"semana_10";131,061634242481
76;"Richard";"semana_15";203,459777207217
76;"Richard";"semana_20";206,154521205565
77;"Starking";"semana_5";56,162277254112
77;"Starking";"semana_10";125,063376265406
77;"Starking";"semana_15";216,091053585467
77;"Starking";"semana_20";219,63829611702
78;"Golden";"semana_5";38,4807729736732
78;"Golden";"semana_10";147,915859876292
78;"Golden";"semana_15";273,192403507569
78;"Golden";"semana_20";277,821395323762
79;"Fuji";"semana_5";49,2630071200164
79;"Fuji";"semana_10";139,700976242414
79;"Fuji";"semana_15";207,867029803194
79;"Fuji";"semana_20";211,563783657126
80;"Starking";"semana_5";45,2518715991825
80;"Starking";"semana_10";133,37347507855
80;"Starking";"semana_15";175,812815945379
