"Id";"Grupo";"Inicial";"Pollo";"Res";"Conejo";"Pescado";"Pato"
1;3;6,39397350994962;6,49101827403622;6,7772365047885;6,53572984140458;6,31726627655419;6,30141101142483
2;4;2,40685246902677;2,21605242639007;2,21603383644643;1,72370935915197;2,56740436264472;2,52625659144642
3;7;1,53339933927506;1,3701465656735;1,03098737487905;1,57181087757796;1,89283650112208;1,56736948003396
4;4;2,67771554392512;2,64790277600969;2,55765434055338;2,23418494005437;2,79191009205515;2,85855995154689
5;3;4,06857794626749;3,9081223492617;4,62565432413148;4,12866492011717;4,17320372789299;3,93342926102823
6;2;6,52671131271339;7,18638630137715;6,3777289692632;6,38223220718495;6,616456297817;6,41735665577865
7;7;2,11591872664068;2,26824788411979;1,6681202077809;2,23730217821796;2,41441339538798;1,95317058673028
8;8;2,24444030831308;2,09374253247605;2,58095923192539;2,33603802687229;2,1034196233444;2,60844965484665
9;11;3,87752978346129;3,83493993436737;3,85953711854113;3,90813875241024;3,58555442384263;3,91632535151025
10;5;4,28108572373897;4,35382492477804;4,37007673569754;4,11156843016654;3,63049152163588;4,10900051557258
11;6;4,51032031400311;4,64523120679143;4,37588447796363;4,34720981696802;4,61556492828015;4,02401333235386
12;9;4,02981174824214;3,99214690582281;4,09047563842884;3,89269885379741;4,21577763113579;4,08393454531594
13;9;8,01799273115111;7,95198504847003;7,86386172637803;7,76318749495776;8,18133933466388;7,74984095707996
14;7;6,21098011593025;6,21138923168804;5,61120905804604;6,11995391809072;6,57580848506808;6,26856315788503
15;10;3,99089748276455;4,03527349172218;4,14315449580608;3,90267150182334;3,91053959554119;3,84929114900587
16;1;3,98094960628614;3,95402410524502;3,83000289416477;4,14338422632381;4,10935286721751;4,108799545286
17;11;7,10944504959859;7,0307648102136;7,18513843504131;7,03167119513616;6,87723527791329;7,14025708328352
18;3;6,13158617771391;6,24500566736955;6,62562458039887;6,21933922243465;6,20872306560327;6,30655441868279
19;4;5,31458830471259;5,23553559166488;5,37211089098003;4,77768534609225;5,40951287756782;5,24553433415588
20;2;1,21874349595081;1,86312815209884;1,23436474151011;1,0565621462002;1,26199898582916;1,2009610450178
21;1;3,31945523619322;3,35028171110568;3,12704796613795;3,46143308812422;3,41554393898365;3,48889169552965
22;6;5,03904670397105;4,87983747948247;4,91302967354941;4,86091245714861;4,94148300722527;5,35576794645103
23;6;4,15350811505466;4,31368853864967;4,06303193630426;3,97033972289189;4,22343047583251;4,59433822916596
24;9;1,78848794716983;1,80964877651646;1,71056342161833;1,55446166917323;1,6081378189811;1,49007511911555
25;10;0,27198284664465;0,1091098215924;0,241645861932019;0,237548112126941;0,243925753191988;0,0421350580201844
26;3;8,66335738054997;8,51619155915043;9,23379089038873;8,52686328101492;8,65960553796551;8,7068462938588
27;6;5,05834157037764;4,87874291119381;5,05950965368404;4,86562060219451;5,07868354804097;5,65150114893197
28;2;5,01263524986283;5,59103602728286;5,04788222921492;4,9428082573548;5,0574115287833;4,85495891900212
29;2;2,60492852787306;3,27968187246756;2,62235387918358;2,78355061114584;2,53802260962133;2,49813617217173
30;11;3,03061908787182;2,96259972938402;3,02025093632815;3,03517860459229;2,83287638887828;3,06205678680977
31;6;4,15612838444042;4,32434434423897;4,10516808963123;4,15685072530735;4,0891941478357;4,26325598292726
32;1;6,96767944622662;6,77294842455413;7,06881045805168;6,92811479227495;6,97159432986629;6,91276336567354
33;4;2,8299648709032;2,68964027132795;2,97540894526944;2,04988837299359;2,7109362484324;2,65318811679215
34;5;6,47124808632446;6,42995106602697;6,36686059596626;6,46068302371217;5,84220395033857;6,53472456277026
35;3;1,72880334117007;1,6626384680022;2,21867319381353;1,83798407063377;1,90321779026207;1,74040730221686
36;4;6,95514087356809;6,99654218783784;6,96746508848104;6,52827480136133;6,83604579340848;6,95755267502922
37;5;2,62964096148659;2,50221625906576;2,44640789716665;2,78403895902608;1,99742745855052;2,74323271508489
38;4;5,89708215534279;6,06234342014009;5,98062167275289;5,32286769212747;5,89140855153614;5,87444428192043
39;11;0,66971043043132;0,591213088923274;0,618388583439543;0,692628268453433;0,542218312083884;0,644735559097632
40;3;6,61612304589282;6,68130128067489;7,18579073651265;6,57527845753859;6,44113745075222;6,51462070299815
41;11;5,36557546651652;5,30810492944634;5,39329648155449;5,33873762742347;5,38406281250259;5,42176839935324
42;1;4,70771839082161;4,76153417335743;4,69917173826987;4,59541455687875;4,51924574406737;4,74641870263884
43;6;6,99753875548497;7,08569078485028;7,06093183525384;6,87301757812977;6,84317975335301;6,59551319212199
44;11;3,45209802245501;3,41233636579256;3,39756308929774;3,44236728531088;3,15307694390195;3,44980973695184
45;1;2,20048035525166;2,1564116643966;2,02087793138259;2,18426238235467;2,25736348174893;2,35692455379673
46;6;6,00550942121419;6,12094393017116;6,06030468101028;5,90537959577862;6,08606558012191;5,65178398898217
47;5;2,29454255327113;2,19680752027311;2,24953100783281;2,28703616195821;1,5491545398207;2,47097282940053
48;11;5,58442170833685;5,48547817635797;5,50358453248143;5,48566309082769;5,29587461193539;5,59420587219745
